Country,Crime name,Year,Age,Sex,No of recorded cases,Source
Greece,Serious assault,2013,Total,Total,1610,IAFQ
Grenada,Serious assault,2013,Total,Total,1394,IAFQ
Guatemala,Serious assault,2013,Total,Total,2786,IAFQ
Guyana,Serious assault,2013,Total,Total,6501,IAFQ
"China, Hong Kong Special Administrative Region",Serious assault,2013,Total,Total,6623,IAFQ
Honduras,Serious assault,2013,Total,Total,1734,IAFQ
Croatia,Serious assault,2013,Total,Total,823,IAFQ
Hungary,Serious assault,2013,Total,Total,13377,IAFQ
Indonesia,Serious assault,2013,Total,Total,35153,IAFQ
India,Serious assault,2013,Total,Total,334669,IAFQ
Ireland,Serious assault,2013,Total,Total,3089,IAFQ
Iraq (Central Iraq),Serious assault,2013,Total,Total,27935,IAFQ
Iceland,Serious assault,2013,Total,Total,92,IAFQ
Jamaica,Serious assault,2013,Total,Total,4941,IAFQ
Japan,Serious assault,2013,Total,Total,27864,IAFQ
Kazakhstan,Serious assault,2013,Total,Total,1361,IAFQ
Kenya,Serious assault,2013,Total,Total,13674,IAFQ
Kyrgyzstan,Serious assault,2013,Total,Total,306,IAFQ/NA
Republic of Korea,Serious assault,2013,Total,Total,55884,IAFQ
Lebanon,Serious assault,2013,Total,Total,8222,IAFQ
Liechtenstein,Serious assault,2013,Total,Total,103,IAFQ
Sri Lanka,Serious assault,2013,Total,Total,4098,IAFQ
Lithuania,Serious assault,2013,Total,Total,211,IAFQ
Luxembourg,Serious assault,2013,Total,Total,3018,IAFQ
Latvia,Serious assault,2013,Total,Total,458,IAFQ
"China, Macao Special Administrative Region",Serious assault,2013,Total,Total,1700,IAFQ
Morocco,Serious assault,2013,Total,Total,67763,IAFQ
Republic of Moldova,Serious assault,2013,Total,Total,324,IAFQ
Madagascar,Serious assault,2013,Total,Total,2744,IAFQ
Mexico,Serious assault,2013,Total,Total,32202,IAFQ
North Macedonia,Serious assault,2013,Total,Total,216,IAFQ
Malta,Serious assault,2013,Total,Total,218,IAFQ
Myanmar,Serious assault,2013,Total,Total,5003,IAFQ/NA
Montenegro,Serious assault,2013,Total,Total,173,IAFQ
Mongolia,Serious assault,2013,Total,Total,7564,IAFQ
Nigeria,Serious assault,2013,Total,Total,16487,IAFQ
Netherlands (Kingdom of the),Serious assault,2013,Total,Total,5581,IAFQ
Norway,Serious assault,2013,Total,Total,2566,IAFQ
New Zealand,Serious assault,2013,Total,Total,8951,IAFQ/NA
Pakistan,Serious assault,2013,Total,Total,32223,IAFQ
Panama,Serious assault,2013,Total,Total,4236,IAFQ
Peru,Serious assault,2013,Total,Total,26163,IAFQ
Poland,Serious assault,2013,Total,Total,9118,IAFQ
Puerto Rico,Serious assault,2013,Total,Total,2395,IAFQ
Portugal,Serious assault,2013,Total,Total,580,IAFQ
Paraguay,Serious assault,2013,Total,Total,837,IAFQ
Romania,Serious assault,2013,Total,Total,17572,IAFQ
Russian Federation,Serious assault,2013,Total,Total,30453,IAFQ
Rwanda,Serious assault,2013,Total,Total,3299,IAFQ
Singapore,Serious assault,2013,Total,Total,476,IAFQ
El Salvador,Serious assault,2013,Total,Total,4322,IAFQ
Serbia,Serious assault,2013,Total,Total,1750,IAFQ
Slovakia,Serious assault,2013,Total,Total,2017,IAFQ
Sweden,Serious assault,2013,Total,Total,4659,IAFQ
Thailand,Serious assault,2013,Total,Total,12491,IAFQ/NA
Trinidad and Tobago,Serious assault,2013,Total,Total,542,IAFQ
Türkiye,Serious assault,2013,Total,Total,74938,IAFQ
Uganda,Serious assault,2013,Total,Total,16702,IAFQ
Uruguay,Serious assault,2013,Total,Total,426,NA/IAFQ
United States of America,Serious assault,2013,Total,Total,726800,NA/IAFQ
Holy See,Serious assault,2013,Total,Total,0,NA
Kosovo under UNSCR 1244,Serious assault,2013,Total,Total,653,IAFQ
Albania,Serious assault,2014,Total,Total,132,IAFQ
Andorra,Serious assault,2014,Total,Total,123,IAFQ
United Arab Emirates,Serious assault,2014,Total,Total,316,IAFQ
Argentina,Serious assault,2014,Total,Total,178611,IAFQ
Armenia,Serious assault,2014,Total,Total,198,IAFQ/NA
Australia,Serious assault,2014,Total,Total,67081,NA/IAFQ
Austria,Serious assault,2014,Total,Total,3230,IAFQ
Azerbaijan,Serious assault,2014,Total,Total,160,NA
Burundi,Serious assault,2014,Total,Total,549,IAFQ/NA
Belgium,Serious assault,2014,Total,Total,70411,IAFQ/NA
Bulgaria,Serious assault,2014,Total,Total,2533,IAFQ
Bahamas,Serious assault,2014,Total,Total,5145,IAFQ
Bosnia and Herzegovina,Serious assault,2014,Total,Total,592,IAFQ
Belarus,Serious assault,2014,Total,Total,830,IAFQ
Belize,Serious assault,2014,Total,Total,1042,IAFQ
Bermuda,Serious assault,2014,Total,Total,61,IAFQ
Bolivia (Plurinational State of),Serious assault,2014,Total,Total,9513,IAFQ
Brazil,Serious assault,2014,Total,Total,606252,IAFQ
Barbados,Serious assault,2014,Total,Total,1465,IAFQ
Bhutan,Serious assault,2014,Total,Total,521,IAFQ
Botswana,Serious assault,2014,Total,Total,16847,IAFQ
Canada,Serious assault,2014,Total,Total,48369,IAFQ
Switzerland,Serious assault,2014,Total,Total,609,IAFQ
Chile,Serious assault,2014,Total,Total,13359,IAFQ
Cameroon,Serious assault,2014,Total,Total,3690,IAFQ
Colombia,Serious assault,2014,Total,Total,167645,IAFQ
Cabo Verde,Serious assault,2014,Total,Total,4117,IAFQ
Costa Rica,Serious assault,2014,Total,Total,8477,IAFQ
Cyprus,Serious assault,2014,Total,Total,134,NA/IAFQ
Czechia,Serious assault,2014,Total,Total,5199,IAFQ/NA
Germany,Serious assault,2014,Total,Total,125752,IAFQ
Dominica,Serious assault,2014,Total,Total,76,IAFQ
Denmark,Serious assault,2014,Total,Total,1533,IAFQ
Dominican Republic,Serious assault,2014,Total,Total,4275,IAFQ
Algeria,Serious assault,2014,Total,Total,53853,NA/IAFQ
Ecuador,Serious assault,2014,Total,Total,7430,IAFQ
Spain,Serious assault,2014,Total,Total,16776,NA/IAFQ
Estonia,Serious assault,2014,Total,Total,77,IAFQ
Finland,Serious assault,2014,Total,Total,1645,NA/IAFQ
France,Serious assault,2014,Total,Total,237915.5,NA/IAFQ
United Kingdom (England and Wales),Serious assault,2014,Total,Total,373464,NA/IAFQ
United Kingdom (Northern Ireland),Serious assault,2014,Total,Total,1172,NA/IAFQ
United Kingdom (Scotland),Serious assault,2014,Total,Total,2903,NA/IAFQ
Georgia,Serious assault,2014,Total,Total,228,IAFQ
Guinea-Bissau,Serious assault,2014,Total,Total,3314,IAFQ
Greece,Serious assault,2014,Total,Total,1459,IAFQ
Grenada,Serious assault,2014,Total,Total,529,IAFQ
Guatemala,Serious assault,2014,Total,Total,2417,IAFQ
Honduras,Serious assault,2014,Total,Total,1497,IAFQ
Croatia,Serious assault,2014,Total,Total,766,IAFQ
Hungary,Serious assault,2014,Total,Total,13475,IAFQ
Indonesia,Serious assault,2014,Total,Total,36980,IAFQ
Ireland,Serious assault,2014,Total,Total,3163,IAFQ
Iraq (Central Iraq),Serious assault,2014,Total,Total,25008,IAFQ
Iceland,Serious assault,2014,Total,Total,101,IAFQ
Italy,Serious assault,2014,Total,Total,973,IAFQ
Jamaica,Serious assault,2014,Total,Total,3918,IAFQ
Japan,Serious assault,2014,Total,Total,26653,IAFQ
Kazakhstan,Serious assault,2014,Total,Total,957,IAFQ
Kenya,Serious assault,2014,Total,Total,13949,IAFQ
Kyrgyzstan,Serious assault,2014,Total,Total,380,IAFQ
Republic of Korea,Serious assault,2014,Total,Total,50281,IAFQ
Lebanon,Serious assault,2014,Total,Total,8514,IAFQ
Liechtenstein,Serious assault,2014,Total,Total,120,IAFQ
Sri Lanka,Serious assault,2014,Total,Total,4037,IAFQ
Lithuania,Serious assault,2014,Total,Total,204,IAFQ
Luxembourg,Serious assault,2014,Total,Total,728,IAFQ
Latvia,Serious assault,2014,Total,Total,569,IAFQ
"China, Macao Special Administrative Region",Serious assault,2014,Total,Total,1783,IAFQ
Monaco,Serious assault,2014,Total,Total,154,IAFQ
Republic of Moldova,Serious assault,2014,Total,Total,320,IAFQ
Madagascar,Serious assault,2014,Total,Total,2542,IAFQ
Maldives,Serious assault,2014,Total,Total,449,IAFQ
Mexico,Serious assault,2014,Total,Total,39937,IAFQ
North Macedonia,Serious assault,2014,Total,Total,213,IAFQ/NA
Malta,Serious assault,2014,Total,Total,160,IAFQ
Myanmar,Serious assault,2014,Total,Total,5190,IAFQ
Montenegro,Serious assault,2014,Total,Total,129,IAFQ
Mongolia,Serious assault,2014,Total,Total,8132,IAFQ
Netherlands (Kingdom of the),Serious assault,2014,Total,Total,5340,IAFQ
Norway,Serious assault,2014,Total,Total,2377,IAFQ
New Zealand,Serious assault,2014,Total,Total,9900,NA/IAFQ
Oman,Serious assault,2014,Total,Total,40,NA/IAFQ
Pakistan,Serious assault,2014,Total,Total,33432,NA/IAFQ
Panama,Serious assault,2014,Total,Total,4063,IAFQ
Peru,Serious assault,2014,Total,Total,24806,NA/IAFQ
Poland,Serious assault,2014,Total,Total,8248,NA
Puerto Rico,Serious assault,2014,Total,Total,2475,NA/IAFQ
Portugal,Serious assault,2014,Total,Total,542,NA
Paraguay,Serious assault,2014,Total,Total,779,IAFQ
Romania,Serious assault,2014,Total,Total,2279,IAFQ
Russian Federation,Serious assault,2014,Total,Total,29286,IAFQ
Singapore,Serious assault,2014,Total,Total,513,IAFQ
El Salvador,Serious assault,2014,Total,Total,3920,IAFQ
Serbia,Serious assault,2014,Total,Total,1506,IAFQ
Suriname,Serious assault,2014,Total,Total,433,IAFQ/NA
Slovakia,Serious assault,2014,Total,Total,1988,NA/IAFQ
Sweden,Serious assault,2014,Total,Total,4570,IAFQ
Thailand,Serious assault,2014,Total,Total,12675,NA
Trinidad and Tobago,Serious assault,2014,Total,Total,558,IAFQ/NA
Türkiye,Serious assault,2014,Total,Total,79405,IAFQ/NA
United Republic of Tanzania,Serious assault,2014,Total,Total,1834,IAFQ
Uganda,Serious assault,2014,Total,Total,8210,IAFQ
Uruguay,Serious assault,2014,Total,Total,470,IAFQ
United States of America,Serious assault,2014,Total,Total,731100,IAFQ
Uzbekistan,Serious assault,2014,Total,Total,1451,IAFQ
Holy See,Serious assault,2014,Total,Total,0,IAFQ
Kosovo under UNSCR 1244,Serious assault,2014,Total,Total,818,IAFQ
South Africa,Serious assault,2014,Total,Total,182556,IAFQ
Albania,Serious assault,2015,Total,Total,169,IAFQ
Andorra,Serious assault,2015,Total,Total,133,IAFQ
United Arab Emirates,Serious assault,2015,Total,Total,320,IAFQ
Argentina,Serious assault,2015,Total,Total,181321,IAFQ
Armenia,Serious assault,2015,Total,Total,163,IAFQ
Antigua and Barbuda,Serious assault,2015,Total,Total,7,IAFQ
Australia,Serious assault,2015,Total,Total,68002,IAFQ
Austria,Serious assault,2015,Total,Total,3461,IAFQ
Belgium,Serious assault,2015,Total,Total,62381,IAFQ
Bulgaria,Serious assault,2015,Total,Total,2520,IAFQ
Bahamas,Serious assault,2015,Total,Total,4562,IAFQ
Bosnia and Herzegovina,Serious assault,2015,Total,Total,992,IAFQ
Belarus,Serious assault,2015,Total,Total,842,IAFQ
Bermuda,Serious assault,2015,Total,Total,58,IAFQ
Bolivia (Plurinational State of),Serious assault,2015,Total,Total,8647,IAFQ
Brazil,Serious assault,2015,Total,Total,621009,IAFQ
Barbados,Serious assault,2015,Total,Total,1474,IAFQ
Bhutan,Serious assault,2015,Total,Total,439,IAFQ
Canada,Serious assault,2015,Total,Total,50708,IAFQ
Switzerland,Serious assault,2015,Total,Total,616,IAFQ
Chile,Serious assault,2015,Total,Total,12304,IAFQ
Cameroon,Serious assault,2015,Total,Total,4805,IAFQ
Colombia,Serious assault,2015,Total,Total,175106,IAFQ
Cabo Verde,Serious assault,2015,Total,Total,4205,IAFQ
Costa Rica,Serious assault,2015,Total,Total,8517,IAFQ
Cyprus,Serious assault,2015,Total,Total,143,IAFQ
Czechia,Serious assault,2015,Total,Total,5229,NA/IAFQ
Germany,Serious assault,2015,Total,Total,127395,IAFQ/NA
Dominica,Serious assault,2015,Total,Total,88,IAFQ
Denmark,Serious assault,2015,Total,Total,1460,IAFQ
Dominican Republic,Serious assault,2015,Total,Total,3889,IAFQ
Algeria,Serious assault,2015,Total,Total,49091,IAFQ
Ecuador,Serious assault,2015,Total,Total,8016,NA/IAFQ
Spain,Serious assault,2015,Total,Total,29056,IAFQ
Estonia,Serious assault,2015,Total,Total,98,NA/IAFQ
Finland,Serious assault,2015,Total,Total,1563,SOF/IAFQ
France,Serious assault,2015,Total,Total,242185,SOF/IAFQ
United Kingdom (England and Wales),Serious assault,2015,Total,Total,430583,SOF/IAFQ
United Kingdom (Northern Ireland),Serious assault,2015,Total,Total,1206,SOF/IAFQ
United Kingdom (Scotland),Serious assault,2015,Total,Total,3714,SOF/IAFQ
Guinea-Bissau,Serious assault,2015,Total,Total,1331,SOF/IAFQ
Greece,Serious assault,2015,Total,Total,1624,SOF/IAFQ
Grenada,Serious assault,2015,Total,Total,494,SOF/IAFQ
Guatemala,Serious assault,2015,Total,Total,2364,SOF/IAFQ
Guyana,Serious assault,2015,Total,Total,9269,IAFQ
Honduras,Serious assault,2015,Total,Total,1328,IAFQ
Croatia,Serious assault,2015,Total,Total,804,IAFQ
Indonesia,Serious assault,2015,Total,Total,14559,IAFQ
Ireland,Serious assault,2015,Total,Total,3516,IAFQ
Iceland,Serious assault,2015,Total,Total,85,IAFQ
Italy,Serious assault,2015,Total,Total,1047,IAFQ
Jamaica,Serious assault,2015,Total,Total,2933,IAFQ
Japan,Serious assault,2015,Total,Total,25183,IAFQ
Kazakhstan,Serious assault,2015,Total,Total,900,IAFQ
Kenya,Serious assault,2015,Total,Total,14921,IAFQ
Kyrgyzstan,Serious assault,2015,Total,Total,359,IAFQ
Republic of Korea,Serious assault,2015,Total,Total,48005,IAFQ
Lebanon,Serious assault,2015,Total,Total,7769,IAFQ
Liechtenstein,Serious assault,2015,Total,Total,81,IAFQ
Sri Lanka,Serious assault,2015,Total,Total,3792,IAFQ
Lithuania,Serious assault,2015,Total,Total,214,IAFQ
Luxembourg,Serious assault,2015,Total,Total,608,IAFQ
Latvia,Serious assault,2015,Total,Total,534,IAFQ
"China, Macao Special Administrative Region",Serious assault,2015,Total,Total,11,IAFQ
Morocco,Serious assault,2015,Total,Total,56275,IAFQ
Monaco,Serious assault,2015,Total,Total,197,SOF/IAFQ
Republic of Moldova,Serious assault,2015,Total,Total,252,SOF/IAFQ
Madagascar,Serious assault,2015,Total,Total,2189,SOF/IAFQ
Maldives,Serious assault,2015,Total,Total,372,SOF/IAFQ
Mexico,Serious assault,2015,Total,Total,46211,SOF/IAFQ
North Macedonia,Serious assault,2015,Total,Total,154,SOF/IAFQ
Malta,Serious assault,2015,Total,Total,183,SOF/IAFQ
Myanmar,Serious assault,2015,Total,Total,4885,SOF/IAFQ
Montenegro,Serious assault,2015,Total,Total,140,IAFQ
Mongolia,Serious assault,2015,Total,Total,445,IAFQ
Netherlands (Kingdom of the),Serious assault,2015,Total,Total,5100,IAFQ
Norway,Serious assault,2015,Total,Total,2239,IAFQ
New Zealand,Serious assault,2015,Total,Total,21187,IAFQ
Oman,Serious assault,2015,Total,Total,44,IAFQ
Pakistan,Serious assault,2015,Total,Total,28979,IAFQ
Panama,Serious assault,2015,Total,Total,2843,IAFQ
Peru,Serious assault,2015,Total,Total,24778,IAFQ
Poland,Serious assault,2015,Total,Total,6957,IAFQ
Puerto Rico,Serious assault,2015,Total,Total,2960,IAFQ
Portugal,Serious assault,2015,Total,Total,469,IAFQ
Paraguay,Serious assault,2015,Total,Total,685,IAFQ
Romania,Serious assault,2015,Total,Total,299,IAFQ
Russian Federation,Serious assault,2015,Total,Total,27258,IAFQ
Saudi Arabia,Serious assault,2015,Total,Total,437,IAFQ
Singapore,Serious assault,2015,Total,Total,473,IAFQ
El Salvador,Serious assault,2015,Total,Total,5887,IAFQ
Serbia,Serious assault,2015,Total,Total,1422,IAFQ
Suriname,Serious assault,2015,Total,Total,310,IAFQ
Slovakia,Serious assault,2015,Total,Total,1862,IAFQ
Sweden,Serious assault,2015,Total,Total,4646,IAFQ
Thailand,Serious assault,2015,Total,Total,13677,IAFQ
Trinidad and Tobago,Serious assault,2015,Total,Total,600,IAFQ
United Republic of Tanzania,Serious assault,2015,Total,Total,2361,IAFQ
Uganda,Serious assault,2015,Total,Total,10065,IAFQ
Uruguay,Serious assault,2015,Total,Total,469,IAFQ
United States of America,Serious assault,2015,Total,Total,764100,IAFQ
Uzbekistan,Serious assault,2015,Total,Total,1478,IAFQ
Holy See,Serious assault,2015,Total,Total,0,IAFQ
Venezuela (Bolivarian Republic of),Serious assault,2015,Total,Total,4106,IAFQ
Kosovo under UNSCR 1244,Serious assault,2015,Total,Total,393,IAFQ
South Africa,Serious assault,2015,Total,Total,182933,IAFQ
Albania,Serious assault,2016,Total,Total,118,IAFQ
Andorra,Serious assault,2016,Total,Total,194,SOF/IAFQ
United Arab Emirates,Serious assault,2016,Total,Total,348,IAFQ/NA
Argentina,Serious assault,2016,Total,Total,142986,IAFQ
Armenia,Serious assault,2016,Total,Total,186,IAFQ
Antigua and Barbuda,Serious assault,2016,Total,Total,5,IAFQ
Australia,Serious assault,2016,Total,Total,70986,IAFQ
Austria,Serious assault,2016,Total,Total,3793,IAFQ
Azerbaijan,Serious assault,2016,Total,Total,333,IAFQ
Belgium,Serious assault,2016,Total,Total,62944,IAFQ
Bulgaria,Serious assault,2016,Total,Total,2470,IAFQ
Bahamas,Serious assault,2016,Total,Total,4276,IAFQ
Bosnia and Herzegovina,Serious assault,2016,Total,Total,1009,IAFQ
Belarus,Serious assault,2016,Total,Total,737,IAFQ
Bermuda,Serious assault,2016,Total,Total,46,IAFQ
Bolivia (Plurinational State of),Serious assault,2016,Total,Total,8108,IAFQ
Brazil,Serious assault,2016,Total,Total,600920,IAFQ
Barbados,Serious assault,2016,Total,Total,1307,IAFQ
Bhutan,Serious assault,2016,Total,Total,400,IAFQ
Canada,Serious assault,2016,Total,Total,53411,IAFQ
Switzerland,Serious assault,2016,Total,Total,573,IAFQ
Chile,Serious assault,2016,Total,Total,12007,IAFQ
Cameroon,Serious assault,2016,Total,Total,1850,IAFQ
Colombia,Serious assault,2016,Total,Total,179607,IAFQ
Cabo Verde,Serious assault,2016,Total,Total,3804,IAFQ
Costa Rica,Serious assault,2016,Total,Total,7529,IAFQ
Cyprus,Serious assault,2016,Total,Total,145,IAFQ
Czechia,Serious assault,2016,Total,Total,5050,IAFQ
Germany,Serious assault,2016,Total,Total,140033,IAFQ
Dominica,Serious assault,2016,Total,Total,111,SOF/IAFQ
Denmark,Serious assault,2016,Total,Total,1733,SOF/IAFQ
Dominican Republic,Serious assault,2016,Total,Total,3675,SOF/IAFQ
Ecuador,Serious assault,2016,Total,Total,7312,SOF/IAFQ
Spain,Serious assault,2016,Total,Total,17331,SOF/IAFQ
Finland,Serious assault,2016,Total,Total,1592,SOF/IAFQ
France,Serious assault,2016,Total,Total,247510,SOF/IAFQ
United Kingdom (England and Wales),Serious assault,2016,Total,Total,466722,SOF/IAFQ
United Kingdom (Northern Ireland),Serious assault,2016,Total,Total,1111,IAFQ
United Kingdom (Scotland),Serious assault,2016,Total,Total,3950,IAFQ
Guinea-Bissau,Serious assault,2016,Total,Total,2000,IAFQ
Greece,Serious assault,2016,Total,Total,1515,IAFQ
Grenada,Serious assault,2016,Total,Total,437,IAFQ
Guatemala,Serious assault,2016,Total,Total,1849,IAFQ
Guyana,Serious assault,2016,Total,Total,1154,IAFQ
Honduras,Serious assault,2016,Total,Total,1347,IAFQ
Croatia,Serious assault,2016,Total,Total,790,IAFQ
Indonesia,Serious assault,2016,Total,Total,14468,IAFQ
Ireland,Serious assault,2016,Total,Total,3638,IAFQ
Iceland,Serious assault,2016,Total,Total,74,IAFQ
Italy,Serious assault,2016,Total,Total,995,IAFQ
Jamaica,Serious assault,2016,Total,Total,2262,IAFQ
Japan,Serious assault,2016,Total,Total,24365,IAFQ
Kenya,Serious assault,2016,Total,Total,15705,IAFQ
Kyrgyzstan,Serious assault,2016,Total,Total,283,IAFQ
Saint Kitts and Nevis,Serious assault,2016,Total,Total,128,IAFQ
Republic of Korea,Serious assault,2016,Total,Total,50028,IAFQ
Lebanon,Serious assault,2016,Total,Total,7491,IAFQ
Liechtenstein,Serious assault,2016,Total,Total,71,IAFQ
Sri Lanka,Serious assault,2016,Total,Total,3563,IAFQ
Lithuania,Serious assault,2016,Total,Total,216,IAFQ
Luxembourg,Serious assault,2016,Total,Total,569,IAFQ
Latvia,Serious assault,2016,Total,Total,657,IAFQ
"China, Macao Special Administrative Region",Serious assault,2016,Total,Total,10,IAFQ
Morocco,Serious assault,2016,Total,Total,64657,IAFQ
Republic of Moldova,Serious assault,2016,Total,Total,250,IAFQ
Maldives,Serious assault,2016,Total,Total,377,IAFQ
Mexico,Serious assault,2016,Total,Total,63654,IAFQ
North Macedonia,Serious assault,2016,Total,Total,173,IAFQ
Malta,Serious assault,2016,Total,Total,200,IAFQ
Myanmar,Serious assault,2016,Total,Total,4619,SOF/IAFQ
Montenegro,Serious assault,2016,Total,Total,128,IAFQ/NA
Mongolia,Serious assault,2016,Total,Total,443,IAFQ
Nicaragua,Serious assault,2016,Total,Total,1377,IAFQ
Netherlands (Kingdom of the),Serious assault,2016,Total,Total,5020,IAFQ
Norway,Serious assault,2016,Total,Total,2199,IAFQ
Nepal,Serious assault,2016,Total,Total,66,IAFQ
New Zealand,Serious assault,2016,Total,Total,23749,IAFQ
Oman,Serious assault,2016,Total,Total,41,IAFQ
Pakistan,Serious assault,2016,Total,Total,29694,IAFQ
Panama,Serious assault,2016,Total,Total,2511,IAFQ
Peru,Serious assault,2016,Total,Total,4595,IAFQ
Philippines,Serious assault,2016,Total,Total,1368,IAFQ
Poland,Serious assault,2016,Total,Total,7621,IAFQ
Puerto Rico,Serious assault,2016,Total,Total,3586,IAFQ
Portugal,Serious assault,2016,Total,Total,521,IAFQ
Paraguay,Serious assault,2016,Total,Total,664,IAFQ
Romania,Serious assault,2016,Total,Total,304,IAFQ
Russian Federation,Serious assault,2016,Total,Total,25153,IAFQ
Saudi Arabia,Serious assault,2016,Total,Total,5397,IAFQ
Singapore,Serious assault,2016,Total,Total,492,IAFQ
El Salvador,Serious assault,2016,Total,Total,6209,IAFQ
Serbia,Serious assault,2016,Total,Total,1339,SOF/IAFQ
Suriname,Serious assault,2016,Total,Total,396,SOF/IAFQ
Slovakia,Serious assault,2016,Total,Total,1632,SOF/IAFQ
Sweden,Serious assault,2016,Total,Total,4959,SOF/IAFQ
Uganda,Serious assault,2016,Total,Total,7019,SOF/IAFQ
Uruguay,Serious assault,2016,Total,Total,475,SOF/IAFQ
United States of America,Serious assault,2016,Total,Total,803000,SOF/IAFQ
Uzbekistan,Serious assault,2016,Total,Total,1505,SOF/IAFQ
Saint Vincent and the Grenadines,Serious assault,2016,Total,Total,821,IAFQ
Venezuela (Bolivarian Republic of),Serious assault,2016,Total,Total,3009,IAFQ
Kosovo under UNSCR 1244,Serious assault,2016,Total,Total,363,IAFQ
South Africa,Serious assault,2016,Total,Total,170616,IAFQ
Albania,Serious assault,2017,Total,Total,125,IAFQ
Andorra,Serious assault,2017,Total,Total,223,IAFQ
United Arab Emirates,Serious assault,2017,Total,Total,223,IAFQ
Argentina,Serious assault,2017,Total,Total,142122,IAFQ
Armenia,Serious assault,2017,Total,Total,181,IAFQ
Antigua and Barbuda,Serious assault,2017,Total,Total,7,IAFQ
Australia,Serious assault,2017,Total,Total,72964,IAFQ
Austria,Serious assault,2017,Total,Total,3625,IAFQ
Azerbaijan,Serious assault,2017,Total,Total,369,IAFQ
Belgium,Serious assault,2017,Total,Total,62763,IAFQ
Benin,Serious assault,2017,Total,Total,5335,IAFQ
Bulgaria,Serious assault,2017,Total,Total,2811,IAFQ
Bahamas,Serious assault,2017,Total,Total,3854,IAFQ
Bosnia and Herzegovina,Serious assault,2017,Total,Total,752,IAFQ
Belarus,Serious assault,2017,Total,Total,696,IAFQ
Belize,Serious assault,2017,Total,Total,1045,IAFQ
Bermuda,Serious assault,2017,Total,Total,37,IAFQ
Bolivia (Plurinational State of),Serious assault,2017,Total,Total,7507,IAFQ
Brazil,Serious assault,2017,Total,Total,591881,IAFQ
Barbados,Serious assault,2017,Total,Total,447,IAFQ
Bhutan,Serious assault,2017,Total,Total,980,IAFQ
Canada,Serious assault,2017,Total,Total,55724,IAFQ
Switzerland,Serious assault,2017,Total,Total,586,IAFQ
Chile,Serious assault,2017,Total,Total,10969,IAFQ
Cameroon,Serious assault,2017,Total,Total,4458,IAFQ
Colombia,Serious assault,2017,Total,Total,171449,IAFQ
Cabo Verde,Serious assault,2017,Total,Total,3393,IAFQ
Costa Rica,Serious assault,2017,Total,Total,7000,IAFQ
Cyprus,Serious assault,2017,Total,Total,144,IAFQ
Czechia,Serious assault,2017,Total,Total,4767,SOF/IAFQ
Germany,Serious assault,2017,Total,Total,137058,IAFQ/NA
Dominica,Serious assault,2017,Total,Total,63,IAFQ
Denmark,Serious assault,2017,Total,Total,1904,IAFQ
Dominican Republic,Serious assault,2017,Total,Total,3478,IAFQ
Ecuador,Serious assault,2017,Total,Total,6522,IAFQ
Spain,Serious assault,2017,Total,Total,18086,IAFQ
Estonia,Serious assault,2017,Total,Total,76,IAFQ
Finland,Serious assault,2017,Total,Total,1581,IAFQ
France,Serious assault,2017,Total,Total,258880,IAFQ
United Kingdom (England and Wales),Serious assault,2017,Total,Total,512976,IAFQ
United Kingdom (Northern Ireland),Serious assault,2017,Total,Total,1053,IAFQ
United Kingdom (Scotland),Serious assault,2017,Total,Total,3944,IAFQ
Greece,Serious assault,2017,Total,Total,1510,IAFQ
Grenada,Serious assault,2017,Total,Total,375,IAFQ
Guatemala,Serious assault,2017,Total,Total,21998,IAFQ
Guyana,Serious assault,2017,Total,Total,2102,IAFQ
"China, Hong Kong Special Administrative Region",Serious assault,2017,Total,Total,4919,IAFQ
Honduras,Serious assault,2017,Total,Total,2053,IAFQ
Croatia,Serious assault,2017,Total,Total,798,IAFQ
Indonesia,Serious assault,2017,Total,Total,12405,IAFQ
Ireland,Serious assault,2017,Total,Total,4101,SOF/IAFQ
Iraq (Central Iraq),Serious assault,2017,Total,Total,4,SOF/IAFQ
Iceland,Serious assault,2017,Total,Total,103,SOF/IAFQ
Italy,Serious assault,2017,Total,Total,1117,SOF/IAFQ
Jamaica,Serious assault,2017,Total,Total,2884,SOF/IAFQ
Kazakhstan,Serious assault,2017,Total,Total,2050,SOF/IAFQ
Kenya,Serious assault,2017,Total,Total,15968,SOF/IAFQ
Kyrgyzstan,Serious assault,2017,Total,Total,35,SOF/IAFQ
Saint Kitts and Nevis,Serious assault,2017,Total,Total,139,IAFQ
Republic of Korea,Serious assault,2017,Total,Total,44611,IAFQ
Saint Lucia,Serious assault,2017,Total,Total,982,IAFQ
Liechtenstein,Serious assault,2017,Total,Total,83,IAFQ
Sri Lanka,Serious assault,2017,Total,Total,3205,IAFQ
Lithuania,Serious assault,2017,Total,Total,178,IAFQ
Luxembourg,Serious assault,2017,Total,Total,585,IAFQ
Latvia,Serious assault,2017,Total,Total,657,IAFQ
"China, Macao Special Administrative Region",Serious assault,2017,Total,Total,7,IAFQ
Morocco,Serious assault,2017,Total,Total,117883,IAFQ
Republic of Moldova,Serious assault,2017,Total,Total,237,IAFQ
Maldives,Serious assault,2017,Total,Total,354,IAFQ
Mexico,Serious assault,2017,Total,Total,55184,IAFQ
North Macedonia,Serious assault,2017,Total,Total,148,IAFQ
Malta,Serious assault,2017,Total,Total,186,IAFQ
Montenegro,Serious assault,2017,Total,Total,147,IAFQ
